Timestamp;Capacidad disponible;Capacidad utilizada;% Memoria utilizada
2024/03/04 23:05:20;4242100;121568;3975948
2024/03/04 23:05:25;4249072;121588;3975964
2024/03/04 23:05:30;4248316;121628;3976112
2024/03/04 23:05:35;4245040;121680;3978468
2024/03/04 23:05:40;4249828;121700;3976188
2024/03/04 23:05:45;4243024;121724;3981028
2024/03/04 23:05:51;4242772;121776;3976008
2024/03/04 23:05:56;4245796;121792;3976188
2024/03/04 23:06:01;4245292;121820;3976196
2024/03/04 23:06:06;4245520;121868;3976036
2024/03/04 23:06:11;4245544;121904;3976224
2024/03/04 23:06:16;4242016;121948;3979896
2024/03/04 23:06:21;4241828;122000;3976076
2024/03/04 23:06:26;4236488;122052;3976712
2024/03/04 23:06:31;4232708;122088;3980344
2024/03/04 23:06:36;4232960;122128;3976280
2024/03/04 23:06:42;4232484;122152;3976092
2024/03/04 23:06:47;4231980;122176;3976760
2024/03/04 23:06:52;4231728;122204;3976540
2024/03/04 23:06:57;4231228;122228;3976756
2024/03/04 23:07:02;4231228;122244;3976732
2024/03/04 23:07:07;4230976;122256;3976732
2024/03/04 23:07:12;4230724;122268;3976764
2024/03/04 23:07:17;4230956;122296;3976700
2024/03/04 23:07:22;4234624;122312;3976700
2024/03/04 23:07:27;4276908;122364;3977144
2024/03/04 23:07:32;4278284;122400;3977144
2024/03/04 23:07:37;4278792;122428;3976548
2024/03/04 23:07:42;4281088;122472;3976816
2024/03/04 23:07:47;4281088;122500;3976564
2024/03/04 23:07:52;4279324;122528;3976604
2024/03/04 23:07:57;4279576;122580;3976556
2024/03/04 23:08:02;4283104;122616;3977188
2024/03/04 23:08:07;4287384;122644;3976728
2024/03/04 23:08:12;4286408;122672;3976820
2024/03/04 23:08:17;4282628;122696;3978444
2024/03/04 23:08:22;4282740;122744;3978332
2024/03/04 23:08:27;4281004;122756;3977192
2024/03/04 23:08:32;4266336;122800;3977232
2024/03/04 23:08:37;4271732;122824;3977084
2024/03/04 23:08:43;4274888;122852;3977088
2024/03/04 23:08:48;4274800;122868;3977096
2024/03/04 23:08:53;4275304;122896;3977344
2024/03/04 23:08:58;4275556;122920;3977120
2024/03/04 23:09:03;4276316;122948;3977096
2024/03/04 23:09:08;4282548;122968;3979848
2024/03/04 23:09:13;4278040;122996;3980184
2024/03/04 23:09:18;4281092;123028;3977100
2024/03/04 23:09:23;4280364;123048;3977136
2024/03/04 23:09:28;4277872;123064;3979604
2024/03/04 23:09:33;4277872;123104;3979604
2024/03/04 23:09:38;4277620;123156;3979616
2024/03/04 23:09:43;4273616;123180;3979616
2024/03/04 23:09:48;4271096;123196;3979628
2024/03/04 23:09:53;4279908;123220;3977176
